bachelor_degree_level_tot_2016, advanced_diploma_diploma_level_tot_2016, no_scl_tot_2016, graduate_diploma_graduate_certificate_level_tot_2016, yr_12_equivalent_tot_2016, remoteness, postgraduate_degree_level_tot_2016, certificate_level_tot_2016, est_res_pop, sa3_code, yr, unemployed_tot, longitude, latitude, labour_force_tot
5511,2184,226,777,15073,"Major Cities of Australia",1881,2529,29104,"40106",2016,1004,138.6039142,-34.88673739,16396
5518,3069,143,836,16394,"Major Cities of Australia",1648,3922,35752,"40301",2016,755,138.5208668,-34.99933396,19191
3649,3310,382,569,17577,"Outer Regional Australia",519,10236,64569,"40702",2016,1566,140.4590841,-36.87973272,35476
3339,3646,386,514,17813,"Outer Regional Australia",476,10363,68920,"40703",2016,2316,140.0067912,-35.00467771,34285
5004,3697,113,716,18477,"Inner Regional Australia",722,8330,51180,"50101",2016,970,115.2822119,-33.90788595,25451
7165,6169,254,1081,30527,"Inner Regional Australia",1132,17822,107658,"50102",2016,2641,115.9679523,-33.20206574,55597
1585,1426,89,259,6902,"Outer Regional Australia",245,3496,22843,"50103",2016,493,116.1925769,-34.22418289,11362
5997,6526,200,914,30327,"Major Cities of Australia",1066,16864,102009,"50201",2016,5091,115.8306965,-32.63241485,45213
17742,4668,77,2031,41414,"Major Cities of Australia",6791,2736,72253,"50301",2016,915,115.7792889,-31.96967793,38471
25254,8020,433,3141,61069,"Major Cities of Australia",8703,7470,110218,"50302",2016,3886,115.844122,-31.94109494,71952
12032,6369,677,1596,38612,"Major Cities of Australia",3096,10264,87370,"50401",2016,2530,115.9166364,-31.90359273,46417
3965,3186,82,748,15550,"Major Cities of Australia",878,6587,44215,"50402",2016,1174,116.2468041,-31.90545371,22070
10631,9036,848,1293,49126,"Major Cities of Australia",2197,19593,132364,"50403",2016,4702,116.0683998,-31.73979867,66182
21579,13734,255,3087,73649,"Major Cities of Australia",4780,22635,167179,"50501",2016,3787,115.7673078,-31.78352788,101919
