remoteness, sa3_code, yr
"Inner Regional Australia","20102",2015
"Inner Regional Australia","20103",2015
"Inner Regional Australia","20201",2015
"Inner Regional Australia","20202",2015
"Inner Regional Australia","20203",2015
"Inner Regional Australia","20301",2015
"Major Cities of Australia","20302",2015
"Inner Regional Australia","20303",2015
"Inner Regional Australia","20401",2015
"Inner Regional Australia","20402",2015
"Inner Regional Australia","20403",2015
"Inner Regional Australia","20501",2015
"Outer Regional Australia","20502",2015
"Inner Regional Australia","20503",2015
"Inner Regional Australia","20504",2015
"Inner Regional Australia","20505",2015
"Major Cities of Australia","20601",2015
"Major Cities of Australia","20602",2015
"Major Cities of Australia","20603",2015
"Major Cities of Australia","20604",2015
"Major Cities of Australia","20605",2015
"Major Cities of Australia","20701",2015
"Major Cities of Australia","20702",2015
"Major Cities of Australia","20606",2015
"Major Cities of Australia","20703",2015
"Major Cities of Australia","20801",2015
"Major Cities of Australia","20901",2015
"Major Cities of Australia","20902",2015
"Major Cities of Australia","20607",2015
"Major Cities of Australia","20903",2015
"Major Cities of Australia","20904",2015
"Major Cities of Australia","21001",2015
"Major Cities of Australia","20803",2015
"Major Cities of Australia","20802",2015
"Major Cities of Australia","20804",2015
"Inner Regional Australia","21002",2015
"Major Cities of Australia","21003",2015
"Major Cities of Australia","21004",2015
"Major Cities of Australia","21005",2015
"Major Cities of Australia","21101",2015
"Major Cities of Australia","21102",2015
"Major Cities of Australia","21103",2015
"Major Cities of Australia","21104",2015
"Major Cities of Australia","21105",2015
"Major Cities of Australia","21201",2015
"Major Cities of Australia","21202",2015
"Major Cities of Australia","21203",2015
"Major Cities of Australia","21204",2015
"Major Cities of Australia","21205",2015
"Major Cities of Australia","21301",2015
"Major Cities of Australia","21302",2015
"Major Cities of Australia","21303",2015
"Major Cities of Australia","21304",2015
"Major Cities of Australia","21305",2015
"Major Cities of Australia","21401",2015
"Major Cities of Australia","21402",2015
"Outer Regional Australia","21501",2015
"Outer Regional Australia","21502",2015
"Outer Regional Australia","21503",2015
"Inner Regional Australia","21601",2015
"Inner Regional Australia","21602",2015
"Inner Regional Australia","21603",2015
"Outer Regional Australia","21701",2015
"Inner Regional Australia","21702",2015
"Major Cities of Australia","30101",2015
"Major Cities of Australia","30102",2015
"Major Cities of Australia","30103",2015
"Major Cities of Australia","30201",2015
"Major Cities of Australia","30202",2015
"Major Cities of Australia","30203",2015
"Major Cities of Australia","30204",2015
"Major Cities of Australia","30302",2015
"Major Cities of Australia","30303",2015
"Major Cities of Australia","30305",2015
"Inner Regional Australia","30904",2015
"Major Cities of Australia","30905",2015
"Major Cities of Australia","30906",2015
"Major Cities of Australia","30907",2015
"Outer Regional Australia","31802",2015
"Inner Regional Australia","31901",2015
"Outer Regional Australia","31902",2015
"Inner Regional Australia","31903",2015
"Inner Regional Australia","31904",2015
"Inner Regional Australia","31905",2015
"Inner Regional Australia","40501",2015
"Outer Regional Australia","40502",2015
"Outer Regional Australia","40503",2015
"Outer Regional Australia","40504",2015
"Remote Australia","40601",2015
"Outer Regional Australia","40602",2015
"Inner Regional Australia","40701",2015
"Major Cities of Australia","30301",2015
"Major Cities of Australia","30304",2015
"Major Cities of Australia","30306",2015
"Major Cities of Australia","30403",2015
"Major Cities of Australia","30404",2015
"Major Cities of Australia","30501",2015
"Major Cities of Australia","30502",2015
"Major Cities of Australia","30503",2015
"Major Cities of Australia","30504",2015
"Outer Regional Australia","30601",2015
"Outer Regional Australia","30602",2015
"Major Cities of Australia","30401",2015
"Major Cities of Australia","30402",2015
"Outer Regional Australia","30603",2015
"Outer Regional Australia","30604",2015
"Outer Regional Australia","30605",2015
"Outer Regional Australia","30701",2015
"Inner Regional Australia","30702",2015
"Inner Regional Australia","30703",2015
"Outer Regional Australia","30801",2015
"Inner Regional Australia","30802",2015
"Inner Regional Australia","30803",2015
"Major Cities of Australia","30901",2015
"Major Cities of Australia","30902",2015
"Major Cities of Australia","30903",2015
"Major Cities of Australia","31001",2015
"Inner Regional Australia","31002",2015
"Major Cities of Australia","30908",2015
"Major Cities of Australia","31003",2015
"Major Cities of Australia","31004",2015
"Inner Regional Australia","31101",2015
"Inner Regional Australia","31303",2015
"Major Cities of Australia","31304",2015
"Major Cities of Australia","31305",2015
"Major Cities of Australia","31401",2015
"Major Cities of Australia","31402",2015
"Major Cities of Australia","30909",2015
"Major Cities of Australia","30910",2015
"Major Cities of Australia","31403",2015
"Very Remote Australia","31501",2015
"Remote Australia","31502",2015
"Very Remote Australia","31503",2015
"Major Cities of Australia","31601",2015
"Major Cities of Australia","31602",2015
"Major Cities of Australia","31603",2015
"Inner Regional Australia","31604",2015
"Major Cities of Australia","31605",2015
"Inner Regional Australia","31606",2015
"Inner Regional Australia","31701",2015
"Outer Regional Australia","31801",2015
"Major Cities of Australia","31104",2015
"Major Cities of Australia","31105",2015
"Major Cities of Australia","31102",2015
"Major Cities of Australia","31106",2015
"Outer Regional Australia","31201",2015
"Inner Regional Australia","31202",2015
"Major Cities of Australia","31103",2015
"Outer Regional Australia","31203",2015
"Inner Regional Australia","31301",2015
"Major Cities of Australia","31302",2015
"Major Cities of Australia","40101",2015
"Major Cities of Australia","40202",2015
"Major Cities of Australia","40203",2015
"Inner Regional Australia","40102",2015
"Major Cities of Australia","40107",2015
"Major Cities of Australia","40204",2015
"Major Cities of Australia","40205",2015
"Major Cities of Australia","40201",2015
"Major Cities of Australia","40302",2015
"Major Cities of Australia","40303",2015
"Major Cities of Australia","40304",2015
"Major Cities of Australia","40401",2015
"Major Cities of Australia","40402",2015
"Major Cities of Australia","40403",2015
"Major Cities of Australia","40103",2015
"Major Cities of Australia","40104",2015
"Major Cities of Australia","40105",2015
"Major Cities of Australia","40106",2015
"Major Cities of Australia","40301",2015
"Outer Regional Australia","40702",2015
"Outer Regional Australia","40703",2015
"Inner Regional Australia","50101",2015
"Inner Regional Australia","50102",2015
"Outer Regional Australia","50103",2015
"Major Cities of Australia","50201",2015
"Major Cities of Australia","50301",2015
"Major Cities of Australia","50302",2015
"Major Cities of Australia","50401",2015
"Major Cities of Australia","50402",2015
"Major Cities of Australia","50403",2015
"Major Cities of Australia","50501",2015
"Major Cities of Australia","50502",2015
"Major Cities of Australia","50503",2015
"Major Cities of Australia","50602",2015
"Major Cities of Australia","50603",2015
"Major Cities of Australia","50702",2015
"Major Cities of Australia","50703",2015
"Major Cities of Australia","50704",2015
"Major Cities of Australia","50705",2015
"Remote Australia","50801",2015
"Remote Australia","50802",2015
"Outer Regional Australia","50803",2015
"Remote Australia","50804",2015
"Outer Regional Australia","50805",2015
"Remote Australia","50806",2015
"Outer Regional Australia","50901",2015
"Inner Regional Australia","50902",2015
"Outer Regional Australia","50903",2015
"Inner Regional Australia","60101",2015
"Inner Regional Australia","60102",2015
"Inner Regional Australia","60103",2015
"Inner Regional Australia","60104",2015
"Inner Regional Australia","60105",2015
"Inner Regional Australia","60106",2015
"Inner Regional Australia","60201",2015
"Outer Regional Australia","60202",2015
"Outer Regional Australia","60203",2015
"Outer Regional Australia","60301",2015
"Outer Regional Australia","60302",2015
"Outer Regional Australia","60303",2015
"Outer Regional Australia","60401",2015
"Inner Regional Australia","60402",2015
"Outer Regional Australia","60403",2015
"Outer Regional Australia","70101",2015
"Outer Regional Australia","70102",2015
"Outer Regional Australia","70103",2015
"Major Cities of Australia","50601",2015
"Major Cities of Australia","50605",2015
"Major Cities of Australia","50606",2015
"Major Cities of Australia","50607",2015
"Major Cities of Australia","50701",2015
"Major Cities of Australia","50604",2015
"Outer Regional Australia","70104",2015
"Very Remote Australia","70203",2015
"Very Remote Australia","70202",2015
"Very Remote Australia","70204",2015
"Remote Australia","70205",2015
"Major Cities of Australia","80103",2015
"Remote Australia","70201",2015
"Major Cities of Australia","80101",2015
"Major Cities of Australia","80106",2015
"Inner Regional Australia","80102",2015
"Major Cities of Australia","80107",2015
"Major Cities of Australia","80104",2015
"Major Cities of Australia","80105",2015
"Major Cities of Australia","80108",2015
"Major Cities of Australia","80109",2015
